"User","Date","Rating","Title","Comment"
"jgeorge4","17 December 2023","
            5/10
            "," I Don't Think Hollywood Can Make Good Movies Anymore
","I really had high hopes for this movie. Finally, I thought, Hollywood can take a step back from their incessant superhero schlock and do something genuinely creative and genuinely entertaining. And it seemed to be getting good reviews!Within the first thirty minutes, however, it becomes apparent this is a very drab, tedious affair. Somehow they managed to turn Willy Wonka into a joyless tale. If anything, it seemed to be slipping into ""Les Miz"" territory, and I was kind of hoping Olivia Colman might just go ahead and belt out ""Master of the House.""One of the few redeeming qualities is Hugh Grant as a sophisticated Oompa-Loompa. Aside from that, the supporting characters are horrible, the music instantly forgettable, and the plot is muddled and tedious, pulling at your emotions with tales of dead mothers and orphans rather than merry Wonkaesque mayhem.For Pete's sake, they were handed the keys to create Willy Wonka's origin story and they couldn't even make it watchable.Hollywood, just give up."
"pete-murphy97","9 December 2023","
            7/10
            "," Wonka, or Plonker?
","Paul King, the director behind the enchanting Paddington films entered the fold to direct a prequel to Gene Wilder's Charlie and the Chocolate Factory. Unfortunately, this outing is overproduced and overdone. And just like chocolate; some things are best had in moderation. Roald Dahl's work in recent times has regrettably been tampered with to remove language related to race, gender, weight, and mental health that today's readers might deem offensive. This film feels like a continuation of that craven desire to be inoffensive. The result is a slightly safe and garden variety end-product which isn't much of a tribute to Dahl, if it even wanted to be.For me, all things Willy Wonka should be almost like an experiential hallucination; self-contained, a bit mysterious, and open to interpretation, without the need for any elaborate backstory spelling things out. Wonka should be an experience, not a storyboard. He ought be unpredictable, a one-off. In the book he is innovative, flamboyant, stubborn, arrogant, and authoritarian. We saw the innovative and the flamboyant, but none of the rest. Or how those latter qualities might have taken, or were taking, shape. Timothee Chalamet's portrayal, for all its innocent charms and trinkets, simply did not have the comedic and deliciously unpredictable edge of either Wilder or Depp's Wonkas; the dimensionality just wasn't there. That ""edge"" would have bounced off the sassiness of the stubborn Oompa Loompa perfectly, helping the audience to see how Wonka wins them over (besides just a paltry supposed bribe of chocolate tasting). Here, it's Hugh Grant outsmarting, outshining, and outwitting a bumbling wide-smiling, bright-eyed and bushy-tailed Wonka in most of the scenes they share. The musical genre of this film wasn't a bad call, given the iconic hit of Wilder's ""Pure Imagination,"" why not try out a musical style? The original songs here could have a little more oomph, though, lyrically and musically. The trio of main villains were excellently cast, with Matt Lucas, Paterson Joseph (stealing the show), and Mathew Baynton. All three were a treat to see on-screen.Overall this film is relatively unchallenging for children compared to Wilder's 1971 work under the original source material, or Tim Burton's satirical 2005 outing. Imagining Willy Wonka as sweet, cloying and one-toned as he's shown here with Chalamet doesn't quite hit the sweet spot.6.8/10."
"chris_rowe-881-168820","13 December 2023","
            8/10
            "," Not every film needs an album.
","This was for me not quite the level of the original but better than Depps version. What I found most distracting was the endless need for songs where they weren't really needed, they weren't memorable or catchy they just felt lazy and forced, like every kids movie now seems to be full of music.The acting part was far better, story was sweet, solid and flowed nicely, a lot of fun cameos that most English tv fans will recognise, the design and costumes were great and the special effects were awesome to. Hugh grants little orange man was a highlight as was the talented girl who played noodle.Biggest floor... TC for me hasn't got a great voice for singing."
"Larsii90","17 December 2023","
            6/10
            "," Missing that Oomph
","Listen, I liked this movie. It was good, I just wished it gave me more. Felt like there was some underutilizing of potential, so it felt s little hollow for me.It didn't tug on my heart strings or emotions ever, but it made it chuckle and Timothee was great as Wonka. A lot of unecessary singing. I can fully get into a good musical if the songs are good and properly placed and spread out, but I can't stand it when they sing songs just to sing, when they could just... talk. Some of the songs the movie weren't really catchy or even good, and felt pointless.Positives: great casting, funny, beautiful sets and costumes. Could watch it at home just to watch a cozy movie (if you're into musicals), but not worth seeing in the theaters like I did."
"napchier","13 December 2023","
            2/10
            "," Weak
","I would suggest watching only the trailer and, with memories of what you may have seen and read before, let that light up a little ""Pure Imagination,"" and leave it there. Don't go and see this film.The musical is built around the ""Pure imagination"" track from the original movie, however hasn't done much in it's attempts to spring board from there, creating rather a drab and uninspired musical around that!They shouldn't have used that original song, not really, in that it appears to have revealed a considerable lack of musical talent, in so far as the new songs are concerned, within a musical production, in this case!The musical whimpered on throughout a meaningless story, it all felt rather uninspired, with consideration to what came before it, featuring not a single character of interest, going on to fizzle out leaving nothing at all. I'm struggling to write about it in fact, it being almost entirely forgettable.Timothy's Wonka, the character, is actually very good, as are some of the villains within this, however everything else simply fails to leave a mark. Some rather bad story telling in this one. I'm quite shocked about this to be honest!"
"tarascopablo","12 December 2023","
            7/10
            "," Good movie with many problems
","First of all... This new take on a young Wonka is actually fresh and interesting. We were used on Wonka being a secondary character of Charlie and the golden ticket story.The movie is well crafted but it has serious problems:i) Chalamet is a fantastic actor and has the potential to be one of the great ones of his generation BUT he was a miscast. Im sorry, but i just don´t see him as Wonka.Ii) Part of what makes a musical great is that the songs and numbers are meant to be remarkable and catchy. After almost 80 years, people still sing singin´in the rain yet Wonka has no memorable song or tune except for the Oompa Loompa bit that was taken straight outta the original one.To me, this 2 flaws are terrible and make it a bad Wonka movie and a bad musical but taking those out of the equation, it is actually a good film.Enjoy it with your loved ones,Stay safe and happy holidays."
"gogarrett","18 December 2023","
            6/10
            "," Did not hit the mark I expected
","This movie seemed to have it all. All of the actors played parts well and Timothee Chalamet is certainly fun to watch. The bits with the Oompah Loompa, played by Hugh Grant, should have been expanded. The sets, costumes and special effects were amazing. The music was from the original Wonka movie so that was nice. The story was almost completely new which I hoped to be nice too. Not so much. The spark I was looking for in the new story was missing for me, even though the actors and director were clearly giving it their best shot at it. I think the writing was the culprit. I was a bit bored in parts. If the writers were looking to get laughs, I don't recall breaking a smile more than once or twice and I think it was something that Rowan Atkinson was doing as the Priest. I did not hear anyone laugh in the theater the whole time. Most of the jokes I think we were supposed to laugh at were pretty lame. I will not be recommending this movie to any adult or child I know. I don't see it appealing to any age unless they are big fans of someone appearing in the film."
"elvir-806-821395","9 December 2023","
            5/10
            "," So much potential ruined with an average story
","I expected sooo much more from Wonka. Charlie and the Chocolate factory was my favourite book in my childhood, I watched both movies many times and my kids took that passion from me and my wife. We were looking forward to see Wonka, but then we were all disappointed.Movies is not bad, it's fairly entertaining, kids liked it, but we all agreed it's nowhere close to Tim Burton's movie. There was huge potential to bring some new magic into the chocolate world of Willy Wonka, but they failed to do that.During the movie, I never once felt the irresistible craving for chocolate, even though I'm a big fan of sweets. That's an unforgivable mistake. In Burton's film, I enjoyed the world of chocolate, from the beginning until the end. Also, the story is very average, focused mainly on the negative aspects of the world we live in. I don't know if they wanted to make a chocolate Oliver Twist, but the combination of the magical world of chocolate and the harsh realism of Charles Dickens just doesn't work together. I'm not dissatisfied with the film, but I am disappointed because it could and should have been much better, more magical, more appealing, and - tastier."
"dan_slentz","19 December 2023","
            6/10
            "," Don't Expect Previous Wonka's - But Worth Watching & Why..
","Reel Tunez, The Radio Show All About the Movies - Movie Review (12/16/23): ""Wonka"". First thing to know is to NOT expect either previous version of the movie related to the character. It's neither Gene Wilder or Johnny Depp's version. It's not about a kid coming to the factory after getting a gold ticket. Nothing like that.. so don't expect it. This is Willy's return after going to Oompa Loompa Land and wanting to start making chocolate. Knowing that will help you by not having wrong expectations. In this case, Willie goes up against a ""gang of three different chocolatiers"" (one is Slugworth).The movie is worth seeing.. and it's a movie event, but be aware that it certainly feels more like a stage play in some respect as the acting is ""big"".. as if exaggerated and animated, as if it's being played TO an audience.Timothee Chalamet does a nice job as Willy Wonka, but he fortunately doesn't have the craziness of Depp's Wonka, but neither quite the warmth or interesting appeal as Wilder's Wonka. Don't expect Wilder or Depp's Wonkas, and that will also help your expectations.Though this isn't a musical, there's a fair bit of music and songs in this new version. Some of the music is a bit campy, but some of the music and songs WILL bring back fond memories of the Gene Wilder version of ""Willy Wonka and the Chocolate Factory"".I can say that for about the first half of the movie, I really wasn't enjoying this new version of the movie much.. but after about half way through the movie, I started to like and appreciate this movie for what IT is, and not what it isn't (which is like the other two).As I said, do NOT expect the previous other two Wonka movies and look for something completely new. If you go into it and keep a ""clean slate"" image and appreciate it as a brand new movie, I think you'll like it more.Only other note is that Chalamet sings in the movie, and he's not bad, but he's also not as good as an actor like Hugh Jackman (who is an actor who is also an excellent singer.. and other similar actors with well-trained singing voices).The story line is a good one, and the acting is very good by Wonka and the others who are ""in debt"" (you'll understand if/when you see the movie), but the actors portraying the chocolatiers and police are more like the over-acting characters from Chitty Chitty Bang Bang (cartoonish in their over-acting). I'd give this movie a 6.2 and say that it's definitely worth seeing.. and seeing on a big screen. I think if the director had taken this movie a little less ""Chitty Chitty-ish"", I would be up in the mid 7 rating... or even a little higher. Go see Wonka at the theater!"
"jp_91","7 December 2023","
            8/10
            "," ""Wonka"" shines as a great movie for the Christmas season.
","""Wonka"" is a pleasant prequel to ""Willy Wonka & the Chocolate Factory"", the script achieves a perfect story for the holiday season and for the whole family, with a simple but effective comedy and good dramatic moments that are strong points for the film production. The production level is excellent, the costume design manages to be fun and the performances are good, especially that of Timothée Chalamet as Willy Wonka, in addition to a successful special performance by Sally Hawkins. The musical numbers are well choreographed and managed to be performed by the voices of the entire cast. One negative thing to highlight are the digital special effects that look fake in every scene in which they are added. The editing work is of a good level. The music composed for the film has potential and is enjoyable. ""Wonka"" shines as a great movie for the Christmas season."
"kevin_robbins","18 December 2023","
            4/10
            "," Wonka stands out as a significant disappointment for 2023
","My wife and I caught Wonka (The 2023) in theaters last night. The storyline traces Wonka's lifelong journey to perfect the art of chocolate-making, inspired by his long-lost mother. With dreams of opening his own shop, Wonka faces financial constraints and navigates a world of labor and manipulation. The question remains: can he forge new friendships and still achieve his goals?Directed by Paul King (Paddington), the film stars Timothée Chalamet (Dune), Olivia Colman (The Lobster), Calah Lane (The Day Shall Come), Keegan-Michael Key (The Predator), and Rowan Atkinson (Bean).This movie proves to be a frustrating and uneven experience, lacking a cohesive element throughout. The dialogue feels inauthentic, the songs fail to captivate, and the overall storyline, while okay, leaves something to be desired. Although there are worthwhile subplots, such as the mom backstory, there are also misses like the Noodle character that doesn't quite land. Despite standout performances from Hugh Grant and the sweatshop owners, the feel still falls flat. The villains, settings, and attire are commendable, but Timothée Chalamet's portrayal of Wonka leaves something to be desired-missing the eerie and slightly scary essence the character demands.In conclusion, Wonka stands out as a significant disappointment for 2023. While I would rate it a 4/10, I'd still recommend watching it once to form your own opinion."
"traceypc-90760","11 December 2023","
            2/10
            "," Disappointed
","Oh so disappointed with this film. Been looking forward to it being released, I mean who doesn't love Willy Wonka.45 minutes into the film I was looking at my watch. I was so bored. The music was awful, the singing even worse. The story was terribly weak and very dull. I couldn't care less. I couldn't get invested in any of the characters apart from Hugh Grant who was adorable. He was the only character that kept me marginally entertained.The snowy cold scenes made it feel Christmassy, a bit like a Dickensian film which was okay. It just lacked magic. It could have been so much more.I just wanted to leave the cinema. If I had gone to watch this film on my own, I would have left."
"Selina_Hazey","10 December 2023","
            6/10
            "," Wonka
","As a child I grew up absolutely loving Gene Wilder in the role, I didn't care for Johnny Depp, that film was just too weird, along comes Chalamet, pretty good in the part, I just wasn't crazy about the film.I felt as though I was watching a musical somewhere in The West End, lots of musical numbers, and a plot which was there, but more so for the sake of it.1971's film presents us with a world of magic, what child (or adult for that matter) wouldn't have wanted to get into that factory, and didn't end up singing those songs, sadly there's none of that here. It's very well made, it's well acted, all that's missing is the magic.I know I shouldn't be comparing it to the past, it's better than the Depp movie, but not a patch on Wilder's."
"MrDHWong","14 December 2023","
            7/10
            "," A whimsical, fun film that captures the spirit of Roald Dahl and is sure to entertain the younger crowd
","""Wonka"" is a musical fantasy film that serves as an origin story of the character of Willy Wonka from the novel ""Charlie and the Chocolate Factory"" by Roald Dahl. Directed by Paul King (""Paddington"" 1 and 2) and starring Timothée Chalamet in the lead role, it is a whimsical, fun film that captures the spirit of Roald Dahl and is sure to entertain the younger crowd.In an unnamed European town, inventor and magician Willy Wonka (Timothée Chalamet) arrives to fulfil his childhood dream of running his own chocolate shop. Searching for a place to stay, Wonka stumbles upon a laundromat run by the suspicious Mrs. Scrubbit (Olivia Colman), who offers him a room so long as he signs a contract. After failing to read the fine print, Wonka finds himself in debt to Mrs. Scrubbit and is forced to work around the clock to earn his freedom. While labouring away, Wonka meets five other people who are also indebted to Mrs. Scrubbit's contract; young orphan Noodle (Calah Lane), plumber Piper (Natasha Rothwell), accountant Abacus (Jim Carter), phone operator Lottie (Rakhee Thakrar), and comedian Larry (Rich Fulcher). The five prisoners inform Wonka that the city is controlled by the ""Chocolate Cartel"", a trio of greedy chocolate makers - Mr. Slugworth (Paterson Joseph), Mr. Prodnose (Matt Lucas), and Mr. Fickelgruber (Mathew Boynton) - who are fiercely determined to eliminate any potential competition. Wonka teams up with his five new friends to hatch a scheme to bring down the cartel and make his chocolate available to everyone no matter their financial situation.One of the most popular children's stories of the twentieth century is Roald Dahl's ""Charlie and the Chocolate Factory"", the timeless tale of a young boy named Charlie Bucket who is given the opportunity to meet the eccentric chocolatier Willy Wonka and visit his mysterious chocolate factory. Since it was first published back in 1964, the story has become a favourite among children the world over, with many like myself growing up reading it at school. Further cementing the story's popularity was the 1971 film adaptation ""Willy Wonka and the Chocolate Factory"" and to a lesser extent Tim Burton's 2005 film ""Charlie and the Chocolate Factory"". Regardless of which of the two films you prefer, their success at the box office proves that the story is as renowned as it ever was, with the character of Willy Wonka attracting the most attention due to his quirky personality. The 2023 film ""Wonka"" gives us an origin story of the title character in a movie that should keep both children and adults entertained for most of the time.Although I'm not entirely sure if we needed to know about the origins of Willy Wonka, this film shows just barely enough about him to still retain that necessary air of mystery without completely ruining his character. When we first meet the young Wonka, he is shown to be ambitious about opening a chocolate shop, singing his passion for the sweet treat loudly from high atop a ship's mast. Upon arriving at his destination, Wonka learns to his dismay that this place is dreary, depressing, and has little time for fun-loving individuals like himself. In fact, no less than three minutes later, Wonka is even forced to pay a fine for daydreaming out in public. Things take a turn for the worst when Wonka is essentially forced into slavery to pay off a huge debt due to his inability to read a contract's fine print as a result of his illiteracy.In spite of all his hardships, Wonka's spirit remains untarnished as he is determined to share his wondrous treats with the world, no matter who or what stands in his way. What I enjoyed here was how the film was able to balance Wonka's confident oddball personality with that of him being the underdog in a new town, staying true to himself but still acknowledging the uphill battle he has to succeed in this harsh world. This is an important message that people of all ages can learn from, since becoming successful is not always an easy task and doing so without sacrificing your own integrity is a challenge within itself. As a result, the otherwise off-putting Willy Wonka becomes a relatable character the audience can find themselves identifying with.Being a musical, there are numerous moments in the film where characters break into song whenever it is necessary for them to communicate their inner monologues. While the songs were all fine and served their intended purpose, I found that most of them weren't all that memorable. The one original musical number I liked the most was near the beginning, where Wonka learns about the fates of his five co-workers/prisoners and how they are doomed to ""Scrub Scrub"" until all their debts are paid. The reason I enjoyed this the most was because it is done in the most Roald Dahl way possible, complete with word play, dark humour, and crackpot villains.Additionally, there are also some variations on the classic tunes from the 1971 film. For instance, the ""Oompa Loompa"" song makes not one but two appearances here, sung by an Oompa Loompa named Lofty (Hugh Grant). Instead of singing about misbehaving children, Lofty sings about why he is no longer welcome among his peers, which is both sad and funny once you learn the actual reason. The older viewers might appreciate the callbacks to the original ""Willy Wonka and the Chocolate Factory"" film and I'm certain the younger viewers will like the newer songs, but I can't really see any of them getting stuck in people's heads once the movie has finished.As the title character, I liked the youthful spin Timothée Chalamet was able to add to an already exceptionally outlandish individual. His take on Willy Wonka is that of an experienced young man who seems ready to take on the world, only to find that not everyone is there to support him in his endeavours. Chalamet's Wonka seems to be unique among his predecessors in that he does not seem to be the younger version of either one, although he does show some of the condescending traits of Gene Wilder's version and the melancholic insecurities of Johnny Depp's version. This almost seems like a compromise of sorts, as though the filmmakers tried to combine both Wilder's and Depp's Wonkas into one so as not to alienate the fans too much. I would say this does work for the most part, however, I personally think they should have just picked one and gone with that instead.Most of the supporting cast were quite good, especially Wonka's five co-workers turned friends who assist him on his mission. With that in mind, Noodle is clearly the main one out of the five that receives the most attention in the story. Although I did like the idea of her being Wonka's street smart friend, I think there was one important thing about her character that is never explained. Early in the film, we learn that Wonka is illiterate, struggling to comprehend even single letters of the alphabet, which is where Noodle comes in to teach him how to read. Being an orphan who never went to school, how did Noodle become intelligent enough to be able to educate a grown man on the basics of reading and writing? We never find out how she acquired this level of education, so this seems like a major plot hole the movie glosses over. I'm not sure if this is the film's way of saying children are sometimes smarter than adults, but it would have been nice to have been provided some explanation as to how an orphan raised on the streets is capable of teaching an adult man comprehensive English skills.I thought the three main villains were rather amusing at times, but Mr. Slugworth is clearly the leader of the trio. Slugworth is shown to be the brains of this whole operation, which is established by the firm, aggressive handshake he gives to everyone he meets. This film treats him and his two colleagues as though they are running some kind of narcotics ring, only with chocolate instead of drugs. I suppose this would make Slugworth the Gus Fring of chocolatiering, which is made evident by his widespread infamy over the entire town. On that note, I just wish we could have seen more of Mr. Prodnose's and Mr. Fickelgruber's intimidating influence throughout the story. It just seems like all of Matt Lucas's and Mathew Baynton's comedic talents are going to waste here, as their characters serve little purpose other than to agree with everything Slugworth says.Though far from essential viewing, ""Wonka"" still serves its purpose as an enjoyable origin story of the most famous fictional chocolate maker in all of children's literature. It may not instil the same level of wonder as the other two feature films before it, but it provides just enough entertainment for a casual viewing with the whole family. Had the film placed more focus on developing its supporting cast and fixing some plot holes, I would be inclined to give it a wider recommendation. Still, you could definitely do a whole lot worse than what we got so all I can say is just sit back and enjoy it for what it is.I rate it 7/10."
